Time;deviceID:110 type:2 variable:4;deviceID:110 type:10 variable:4;deviceID:110 type:20 variable:4;deviceID:110 type:30 variable:4;deviceID:110 type:40 variable:4;deviceID:115 type:2 variable:4;deviceID:115 type:10 variable:4;deviceID:115 type:20 variable:4;deviceID:115 type:30 variable:4;deviceID:115 type:40 variable:4;deviceID:115 type:41 variable:4;deviceID:115 type:42 variable:4;deviceID:115 type:43 variable:4;deviceID:115 type:44 variable:4
2017-03-27 20:22:00;;;;;;100640;24,265;30,2425;368,375;1,59325;1,76256;1,46644;1,70054;0,344431
2017-03-27 20:23:00;;;;;;100640;24,2612;30,3469;370,5;1,60113;1,76372;1,50335;1,71843;0,345372
2017-03-27 20:24:00;;;;;;100638;24,2594;30,2912;373,125;1,59583;1,76264;1,48063;1,70659;0,345981
2017-03-27 20:25:00;;;;;;100638;24,2438;30,3512;378,656;1,59258;1,76217;1,46063;1,69681;0,346494
2017-03-27 20:26:00;;;;;;100641;24,25;30,3475;377,438;1,59843;1,76337;1,49189;1,71376;0,347363
2017-03-27 20:27:00;;;;;;100641;24,2319;30,3925;374,812;1,59512;1,76284;1,47739;1,70573;0,347913
2017-03-27 20:28:00;;;;;;100639;24,2263;30,43;380,312;1,59324;1,76229;1,46326;1,69954;0,348806
2017-03-27 20:29:00;;;;;;100642;24,2256;30,3869;371,125;1,58929;1,76018;1,44288;1,68976;0,348891
2017-03-27 20:30:00;;;;;;100639;24,2288;30,4144;374,938;1,59215;1,76094;1,46321;1,69834;0,349844
2017-03-27 20:31:00;;;;;;100639;24,2206;30,4125;387,188;1,59101;1,76104;1,44573;1,69043;0,35045
2017-03-27 20:32:00;;;;;;100641;24,2272;30,44;368,25;1,58623;1,75652;1,42838;1,68125;0,351169
2017-03-27 20:33:00;;;;;;100637;24,2344;30,415;371,812;1,58599;1,75331;1,4167;1,67757;0,351931
2017-03-27 20:34:00;;;;;;100640;24,2703;30,4469;365,812;1,59286;1,7624;1,46354;1,69904;0,352844
2017-03-27 20:35:00;;;;;;100641;24,2609;30,3591;369,906;1,60043;1,76352;1,50167;1,71611;0,353688
2017-03-27 20:36:00;;;;;;100635;24,2269;30,4025;374,125;1,60028;1,76364;1,49818;1,71459;0,354869
2017-03-27 20:37:00;;;;;;100641;24,2338;30,4762;370,969;1,59707;1,76306;1,4872;1,71013;0,356406
2017-03-27 20:38:00;;;;;;100642;24,2319;30,4525;373,375;1,59276;1,76198;1,46021;1,69815;0,3578
2017-03-27 20:39:00;;;;;;100641;24,23;30,4563;379,906;1,59404;1,76261;1,46732;1,70043;0,3588
2017-03-27 20:40:00;;;;;;100640;24,2072;30,4413;371,031;1,59337;1,76217;1,46713;1,70037;0,359547
